drug_id,category_id
DB00074,C00033
DB00075,C00001
DB00075,C00016
DB00075,C00017
DB00075,C00391
DB00075,C00021
DB00075,C00022
DB00075,C00398
DB00075,C00399
DB00075,C00400
DB00075,C00401
DB00075,C00026
DB00075,C00199
DB00075,C00065
DB00075,C00028
DB00075,C00066
DB00075,C00029
DB00075,C00067
DB00075,C00012
DB00075,C00402
DB00075,C00033
DB00076,C00001
DB00076,C00403
DB00076,C00022
DB00076,C00404
DB00076,C00199
DB00076,C00028
DB00076,C00012
DB00076,C00202
DB00076,C00033
DB00078,C00001
DB00078,C00016
DB00078,C00017
DB00078,C00405
DB00078,C00022
DB00078,C00023
DB00078,C00393
DB00078,C00406
DB00078,C00026
DB00078,C00028
DB00078,C00029
DB00078,C00067
DB00078,C00030
DB00078,C00407
DB00078,C00113
DB00078,C00012
DB00078,C00408
DB00078,C00033
DB00078,C00409
DB00078,C00410
DB00078,C00411
DB00080,C00072
DB00080,C00001
DB00080,C00190
DB00080,C00097
DB00080,C00412
DB00080,C00413
DB00080,C00414
DB00080,C00075
DB00080,C00415
DB00080,C00416
DB00080,C00417
DB00080,C00193
DB00080,C00010
DB00080,C00194
DB00081,C00001
DB00081,C00016
DB00081,C00405
DB00081,C00019
DB00081,C00022
DB00081,C00393
DB00081,C00406
DB00081,C00075
DB00081,C00026
DB00081,C00028
DB00081,C00029
DB00081,C00067
DB00081,C00418
DB00081,C00113
DB00081,C00012
DB00081,C00419
DB00081,C00408
DB00081,C00033
DB00081,C00409
DB00082,C00420
DB00082,C00001
DB00082,C00128
DB00082,C00421
DB00082,C00422
DB00082,C00423
DB00082,C00424
DB00082,C00170
DB00082,C00425
DB00082,C00426
DB00082,C00131
DB00082,C00132
DB00082,C00208
DB00082,C00114
DB00082,C00133
DB00082,C00010
DB00082,C00134
DB00082,C00177
DB00082,C00178
DB00082,C00136
DB00083,C00266
DB00083,C00267
DB00083,C00001
DB00083,C00270
DB00083,C00046
DB00083,C00047
DB00083,C00271
DB00083,C00427
DB00083,C00273
DB00083,C00274
DB00083,C00118
DB00083,C00039
DB00083,C00040
DB00083,C00275
DB00083,C00043
DB00083,C00276
DB00083,C00277
DB00083,C00278
DB00083,C00279
DB00083,C00280
DB00083,C00281
DB00083,C00428
DB00083,C00429
DB00083,C00282
DB00083,C00283
DB00083,C00345
DB00083,C00284
DB00083,C00121
DB00083,C00430
DB00083,C00012
DB00083,C00346
DB00083,C00054
DB00085,C00203
DB00085,C00431
DB00085,C00161
DB00085,C00432
DB00085,C00433
DB00085,C00039
DB00085,C00040
DB00085,C00041
DB00085,C00247
DB00085,C00043
DB00085,C00434
DB00085,C00435
DB00085,C00436
DB00086,C00117
DB00086,C00001
DB00086,C00002
DB00086,C00005
DB00086,C00022
DB00086,C00006
DB00086,C00118
DB00086,C00039
DB00086,C00040
DB00086,C00008
DB00086,C00119
DB00086,C00009
DB00086,C00043
DB00086,C00262
DB00086,C00121
DB00086,C00122
DB00086,C00012
DB00086,C00437
DB00087,C00001
DB00087,C00016
DB00087,C00017
DB00087,C00018
DB00087,C00019
DB00087,C00020
DB00087,C00021
DB00087,C00022
DB00087,C00023
DB00087,C00438
DB00087,C00439
DB00087,C00026
DB00087,C00028
DB00087,C00029
DB00087,C00067
DB00087,C00030
DB00087,C00113
DB00087,C00032
DB00087,C00012
DB00087,C00402
DB00087,C00033
DB00088,C00203
DB00088,C00325
DB00088,C00039
DB00088,C00040
DB00088,C00326
DB00088,C00327
DB00088,C00328
DB00088,C00043
DB00088,C00329
DB00089,C00001
DB00089,C00016
DB00089,C00022
DB00089,C00100
DB00089,C00350
DB00089,C00026
DB00089,C00028
DB00089,C00029
DB00089,C00440
DB00089,C00351
DB00089,C00352
DB00089,C00441
DB00089,C00442
DB00089,C00012
DB00089,C00033
DB00089,C00354
DB00090,C00203
DB00090,C00039
DB00090,C00040
DB00090,C00328
DB00090,C00043
DB00090,C00443
DB00090,C00444
DB00091,C00445
DB00091,C00072
DB00091,C00220
DB00091,C00267
DB00091,C00446
DB00091,C00001
DB00091,C00056
DB00091,C00057
DB00091,C00447
DB00091,C00448
DB00091,C00449
DB00091,C00450
DB00091,C00451
DB00091,C00452
DB00091,C00453
DB00091,C00317
DB00091,C00318
DB00091,C00168
DB00091,C00454
DB00091,C00259
DB00091,C00455
DB00091,C00260
DB00091,C00456
DB00091,C00457
DB00091,C00458
DB00091,C00459
DB00091,C00460
DB00091,C00103
DB00091,C00461
DB00091,C00060
DB00091,C00007
DB00091,C00066
DB00091,C00067
DB00091,C00032
DB00091,C00462
DB00091,C00463
DB00091,C00464
DB00091,C00465
DB00091,C00466
DB00091,C00467
DB00091,C00468
DB00091,C00469
DB00091,C00120
