drug_id,salt_id
DB03994,SAL1228
DB03995,SAL1229
DB04017,SAL1230
DB04074,SAL1231
DB04115,SAL1232
DB04115,SAL1233
DB04160,SAL1234
DB04160,SAL1235
DB04209,SAL1236
DB04209,SAL1237
DB04209,SAL1238
DB04209,SAL1239
DB04209,SAL1240
DB04221,SAL1241
DB04224,SAL1242
DB04224,SAL1243
DB04267,SAL1244
DB04272,SAL1245
DB04339,SAL1246
DB04348,SAL1247
DB04365,SAL1248
DB04398,SAL1249
DB04398,SAL1250
DB04465,SAL1251
DB04500,SAL1252
DB04545,SAL1253
DB04570,SAL1254
DB04574,SAL1255
DB04574,SAL1256
DB04574,SAL1257
DB04620,SAL1258
DB04626,SAL1259
DB04711,SAL1260
DB04711,SAL1261
DB04729,SAL1262
DB04786,SAL1263
DB04813,SAL1264
DB04817,SAL1265
DB04817,SAL1266
DB04817,SAL1267
DB04818,SAL1268
