drug_id,synonym_id
DB00127,SYN00868
DB00127,SYN00869
DB00127,SYN00870
DB00127,SYN00871
DB00128,SYN00872
DB00128,SYN00873
DB00128,SYN00874
DB00128,SYN00875
DB00128,SYN00876
DB00128,SYN00877
DB00128,SYN00878
DB00128,SYN00879
DB00128,SYN00880
DB00128,SYN00881
DB00128,SYN00882
DB00128,SYN00883
DB00129,SYN00884
DB00129,SYN00885
DB00129,SYN00886
DB00129,SYN00887
DB00129,SYN00888
DB00129,SYN00889
DB00129,SYN00890
DB00129,SYN00891
DB00129,SYN00892
DB00129,SYN00893
DB00130,SYN00894
DB00130,SYN00895
DB00130,SYN00896
DB00130,SYN00897
DB00130,SYN00898
DB00130,SYN00899
DB00130,SYN00900
DB00130,SYN00901
DB00130,SYN00902
DB00130,SYN00903
DB00130,SYN00904
DB00130,SYN00905
DB00130,SYN00906
DB00130,SYN00907
DB00130,SYN00908
DB00131,SYN00909
DB00131,SYN00910
DB00131,SYN00911
DB00131,SYN00912
DB00131,SYN00913
DB00131,SYN00914
DB00131,SYN00915
DB00131,SYN00916
DB00131,SYN00917
DB00131,SYN00918
DB00131,SYN00919
DB00131,SYN00920
DB00131,SYN00921
DB00131,SYN00922
DB00131,SYN00923
DB00131,SYN00924
DB00131,SYN00925
DB00131,SYN00926
DB00131,SYN00927
DB00131,SYN00928
DB00132,SYN00929
DB00132,SYN00930
DB00132,SYN00931
DB00132,SYN00932
DB00132,SYN00933
DB00132,SYN00934
DB00132,SYN00935
DB00132,SYN00936
DB00132,SYN00937
DB00132,SYN00938
DB00132,SYN00939
DB00132,SYN00940
DB00133,SYN00941
DB00133,SYN00942
DB00133,SYN00943
DB00133,SYN00944
DB00133,SYN00945
DB00133,SYN00946
DB00133,SYN00947
DB00133,SYN00948
DB00133,SYN00949
DB00134,SYN00950
DB00134,SYN00951
DB00134,SYN00952
DB00134,SYN00953
DB00134,SYN00954
DB00134,SYN00955
DB00134,SYN00956
DB00134,SYN00957
DB00134,SYN00958
DB00134,SYN00959
DB00134,SYN00960
DB00134,SYN00961
DB00135,SYN00962
DB00135,SYN00963
DB00135,SYN00964
DB00135,SYN00965
DB00135,SYN00966
DB00135,SYN00967
DB00135,SYN00968
DB00135,SYN00969
DB00135,SYN00970
DB00135,SYN00971
DB00135,SYN00972
DB00135,SYN00973
DB00135,SYN00974
DB00135,SYN00975
DB00135,SYN00976
DB00135,SYN00977
DB00136,SYN00978
DB00136,SYN00979
DB00136,SYN00980
DB00136,SYN00981
DB00136,SYN00982
DB00136,SYN00983
DB00136,SYN00984
DB00136,SYN00985
DB00136,SYN00986
DB00136,SYN00987
DB00136,SYN00988
DB00137,SYN00989
DB00137,SYN00990
DB00138,SYN00991
DB00138,SYN00992
DB00138,SYN00993
DB00138,SYN00994
DB00138,SYN00995
DB00138,SYN00996
DB00138,SYN00997
DB00139,SYN00998
DB00139,SYN00999
DB00139,SYN01000
DB00139,SYN01001
DB00139,SYN01002
DB00139,SYN01003
DB00139,SYN01004
DB00139,SYN01005
DB00139,SYN01006
DB00139,SYN01007
DB00139,SYN01008
DB00139,SYN01009
DB00139,SYN01010
DB00139,SYN01011
DB00140,SYN01012
DB00140,SYN01013
DB00140,SYN01014
DB00140,SYN01015
DB00140,SYN01016
DB00140,SYN01017
DB00140,SYN01018
DB00140,SYN01019
DB00140,SYN01020
DB00140,SYN01021
DB00140,SYN01022
DB00140,SYN01023
DB00140,SYN01024
DB00141,SYN01025
DB00141,SYN01026
DB00141,SYN01027
DB00141,SYN01028
DB00141,SYN01029
DB00141,SYN01030
DB00142,SYN01031
DB00142,SYN01032
DB00142,SYN01033
DB00142,SYN01034
DB00142,SYN01035
DB00142,SYN01036
DB00142,SYN01037
DB00142,SYN01038
DB00142,SYN01039
DB00143,SYN01040
DB00143,SYN01041
DB00143,SYN01042
DB00143,SYN01043
DB00143,SYN01044
DB00143,SYN01045
DB00143,SYN01046
DB00143,SYN01047
DB00143,SYN01048
DB00143,SYN01049
DB00143,SYN01050
DB00143,SYN01051
DB00143,SYN01052
DB00144,SYN01053
DB00144,SYN01054
DB00144,SYN01055
DB00145,SYN01056
DB00145,SYN01057
DB00145,SYN01058
DB00145,SYN01059
DB00145,SYN01060
DB00145,SYN01061
DB00145,SYN01062
DB00145,SYN01063
DB00145,SYN01064
DB00145,SYN01065
DB00145,SYN01066
DB00146,SYN01067
DB00146,SYN01068
DB00146,SYN01069
DB00146,SYN01070
DB00146,SYN01071
DB00146,SYN01072
DB00146,SYN01073
DB00146,SYN01074
DB00146,SYN01075
DB00146,SYN01076
DB00147,SYN01077
DB00147,SYN01078
DB00147,SYN01079
DB00147,SYN01080
DB00147,SYN01081
DB00147,SYN01082
DB00147,SYN01083
DB00148,SYN01084
DB00148,SYN01085
DB00148,SYN01086
DB00148,SYN01087
DB00148,SYN01088
DB00148,SYN01089
DB00148,SYN01090
DB00148,SYN01091
DB00148,SYN01092
DB00148,SYN01093
DB00148,SYN01094
DB00148,SYN01095
DB00148,SYN01096
DB00149,SYN01097
DB00149,SYN01098
DB00149,SYN01099
DB00149,SYN01100
DB00149,SYN01101
DB00149,SYN01102
DB00149,SYN01103
DB00149,SYN01104
DB00149,SYN01105
DB00149,SYN01106
DB00149,SYN01107
DB00149,SYN01108
DB00150,SYN01109
DB00150,SYN01110
DB00150,SYN01111
DB00150,SYN01112
DB00150,SYN01113
DB00150,SYN01114
DB00150,SYN01115
DB00150,SYN01116
DB00150,SYN01117
DB00150,SYN01118
DB00150,SYN01119
DB00150,SYN01120
DB00150,SYN01121
DB00150,SYN01122
DB00151,SYN01123
DB00151,SYN01124
DB00151,SYN01125
DB00151,SYN01126
DB00151,SYN01127
DB00151,SYN01128
DB00151,SYN01129
DB00151,SYN01130
DB00151,SYN01131
DB00151,SYN01132
DB00151,SYN01133
DB00151,SYN01134
DB00151,SYN01135
DB00151,SYN01136
DB00152,SYN01137
DB00152,SYN01138
DB00152,SYN01139
DB00152,SYN01140
DB00152,SYN01141
DB00152,SYN01142
DB00152,SYN01143
DB00152,SYN01144
DB00152,SYN01145
DB00152,SYN01146
DB00152,SYN01147
DB00153,SYN01148
DB00153,SYN01149
DB00153,SYN01150
DB00153,SYN01151
DB00153,SYN01152
DB00153,SYN01153
DB00153,SYN01154
DB00153,SYN01155
DB00153,SYN01156
DB00153,SYN01157
DB00153,SYN01158
DB00153,SYN01159
DB00153,SYN01160
DB00153,SYN01161
DB00154,SYN01162
DB00154,SYN01163
DB00154,SYN01164
DB00154,SYN01165
DB00154,SYN01166
DB00154,SYN01167
DB00154,SYN01168
DB00154,SYN01169
DB00154,SYN01170
DB00154,SYN01171
DB00154,SYN01172
DB00154,SYN01173
DB00154,SYN01174
DB00154,SYN01175
DB00154,SYN01176
DB00154,SYN01177
DB00154,SYN01178
DB00154,SYN01179
DB00154,SYN01180
DB00154,SYN01181
DB00154,SYN01182
DB00154,SYN01183
DB00154,SYN01184
DB00154,SYN01185
DB00154,SYN01186
DB00155,SYN01187
DB00155,SYN01188
DB00155,SYN01189
DB00155,SYN01190
DB00155,SYN01191
DB00155,SYN01192
DB00155,SYN01193
DB00155,SYN01194
DB00155,SYN01195
DB00155,SYN01196
DB00155,SYN01197
DB00155,SYN01198
DB00155,SYN01199
DB00155,SYN01200
DB00155,SYN01201
DB00155,SYN01202
DB00156,SYN01203
DB00156,SYN01204
DB00156,SYN01205
DB00156,SYN01206
DB00156,SYN01207
DB00156,SYN01208
DB00156,SYN01209
DB00156,SYN01210
DB00156,SYN01211
DB00156,SYN01212
DB00156,SYN01213
DB00156,SYN01214
DB00156,SYN01215
DB00157,SYN01216
DB00157,SYN01217
DB00157,SYN01218
DB00157,SYN01219
DB00157,SYN01220
DB00157,SYN01221
DB00157,SYN01222
DB00157,SYN01223
DB00158,SYN01224
DB00158,SYN01225
DB00158,SYN01226
DB00158,SYN01227
DB00158,SYN01228
DB00158,SYN01229
DB00158,SYN01230
DB00158,SYN01231
DB00158,SYN01232
DB00158,SYN01233
DB00158,SYN01234
DB00158,SYN01235
DB00158,SYN01236
DB00158,SYN01237
DB00158,SYN01238
DB00158,SYN01239
DB00158,SYN01240
DB00158,SYN01241
DB00158,SYN01242
DB00159,SYN01243
DB00159,SYN01244
DB00159,SYN01245
DB00159,SYN01246
DB00159,SYN01247
DB00159,SYN01248
DB00159,SYN01249
DB00159,SYN01250
DB00159,SYN01251
DB00159,SYN01252
DB00159,SYN01253
DB00159,SYN01254
DB00159,SYN01255
DB00159,SYN01256
DB00159,SYN01257
DB00159,SYN01258
DB00159,SYN01259
DB00159,SYN01260
DB00159,SYN01261
DB00159,SYN01262
DB00160,SYN01263
DB00160,SYN01264
DB00160,SYN01265
DB00160,SYN01266
DB00160,SYN01267
